symbol;asset_class
EURTHB;forex
EURKRW;forex
EURINR;forex
EURCNH;forex
EURCNY;forex
EURMYR;forex
EURBRL;forex
EURCLP;forex
EURBGN;forex
EURRSD;forex

GBPILS;forex
GBPTHB;forex
GBPKRW;forex
GBPINR;forex
GBPCNH;forex
GBPMYR;forex
GBPBRL;forex
GBPCLP;forex

AUDILS;forex
AUDTHB;forex
AUDKRW;forex
AUDINR;forex
AUDCNH;forex
AUDMYR;forex
AUDBRL;forex

NZDILS;forex
NZDTHB;forex
NZDKRW;forex
NZDINR;forex
NZDCNH;forex

CADILS;forex
CADTHB;forex
CADKRW;forex
CADINR;forex
CADCNH;forex

CHFILS;forex
CHFTHB;forex
CHFKRW;forex

SGDTHB;forex
SGDKRW;forex
SGDINR;forex
SGDMYR;forex

HKDTHB;forex
HKDKRW;forex
HKDINR;forex

NOKJPY;forex
NOKSEK;forex
NOKDKK;forex
NOKPLN;forex
NOKCZK;forex
NOKHUF;forex

SEKJPY;forex
SEKNOK;forex
SEKDKK;forex
SEKPLN;forex
SEKCZK;forex
SEKHUF;forex

DKKJPY;forex
DKKNOK;forex
DKKSEK;forex
DKKPLN;forex

PLNJPY;forex
PLNNOK;forex
PLNSEK;forex
PLNDKK;forex
PLNCZK;forex
PLNHUF;forex

CZKJPY;forex
CZKNOK;forex
CZKSEK;forex
CZKDKK;forex
CZKPLN;forex
CZKHUF;forex

HUFJPY;forex
HUFNOK;forex
HUFSEK;forex
HUFPLN;forex

TRYJPY;forex
TRYNOK;forex
TRYSEK;forex

ZARJPY;forex
ZARNOK;forex
ZARSEK;forex

MXNJPY;forex
MXNNOK;forex
MXNSEK;forex




XAUUSD;commodities
XAGUSD;commodities
XPTUSD;commodities
XPDUSD;commodities
GOLD;commodities
SILVER;commodities
PLATINUM;commodities
PALLADIUM;commodities

HG;commodities
COPPER;commodities
COPPERUSD;commodities
XCUUSD;commodities
ALUMINIUM;commodities
ALUMINUM;commodities
ZINC;commodities
NICKEL;commodities
LEAD;commodities
TIN;commodities

WTI;commodities
USOIL;commodities
WTIUSD;commodities
CRUDE;commodities
CRUDEOIL;commodities
BRENT;commodities
UKOIL;commodities
BRENTUSD;commodities
BCO;commodities
OIL;commodities

NATGAS;commodities
NATURALGAS;commodities
NG;commodities
NGAS;commodities
NATGASUSD;commodities

GASOLINE;commodities
RBOB;commodities
HEATINGOIL;commodities
DIESEL;commodities

CORN;commodities
WHEAT;commodities
SOYBEAN;commodities
SOYBEANS;commodities
SUGAR;commodities
COFFEE;commodities
COCOA;commodities
COTTON;commodities
RICE;commodities
OATS;commodities
CANOLA;commodities
RAPESEED;commodities
LUMBER;commodities
ORANGEJUICE;commodities

KC;commodities
CC;commodities
SB;commodities
CT;commodities
C;commodities
S;commodities
W;commodities
BO;commodities
SM;commodities
FC;commodities
LC;commodities
LH;commodities
HE;commodities

XAU;commodities
XAG;commodities
XPT;commodities
XPD;commodities

GOLDUSD;commodities
SILVERUSD;commodities
PLATINUMUSD;commodities
PALLADIUMUSD;commodities

IRON;commodities
IRONORE;commodities
STEEL;commodities
COBALT;commodities
MANGANESE;commodities

URANIUM;commodities
U3O8;commodities

LC;commodities
FC;commodities
LH;commodities
LIVE CATTLE;commodities
FEEDER CATTLE;commodities
LEAN HOGS;commodities




SPX;indices
SP500;indices
US500;indices
USA500;indices
S&P500;indices
SPX500;indices
ES;indices
MES;indices

NDX;indices
NASDAQ;indices
NAS100;indices
US100;indices
USTEC;indices
NASDAQ100;indices
NAS100USD;indices
NQ;indices
MNQ;indices

DJI;indices
DJ30;indices
US30;indices
USA30;indices
DOW;indices
DOW30;indices
DJIA;indices
YM;indices
MYM;indices

RUSSELL2000;indices
RUS2000;indices
US2000;indices
RTY;indices
M2K;indices

VIX;indices
VIXUSD;indices

GER40;indices
DE40;indices
DAX;indices
DAX40;indices
GER30;indices
DE30;indices
DAX30;indices
FDAX;indices
FDXM;indices

EURO50;indices
EU50;indices
STOXX50;indices
EUROSTOXX50;indices
SX5E;indices

FRA40;indices
FR40;indices
CAC40;indices
CAC;indices

UK100;indices
UKX;indices
FTSE100;indices
FTSE;indices

ESP35;indices
ES35;indices
IBEX35;indices
IBEX;indices

ITA40;indices
IT40;indices
FTSEMIB;indices
MIB;indices

NED25;indices
NL25;indices
AEX;indices

BEL20;indices
BE20;indices

SUI20;indices
CH20;indices
SMI;indices
SWISS20;indices

AUT20;indices
ATX;indices

STOXX600;indices
SX5E;indices
STOXX50;indices
STOXX50E;indices

NIKKEI;indices
NIKKEI225;indices
JP225;indices
JPN225;indices
NI225;indices
NKY;indices
N225;indices

TOPIX;indices
TOPIX100;indices

HSI;indices
HK50;indices
HSI50;indices
HANGSENG;indices
HKTECH;indices
HSTECH;indices

CHINA50;indices
CN50;indices
FTSECHINA50;indices
A50;indices
CNXA50;indices

SHANGHAI;indices
SSE;indices
SSE50;indices
CSI300;indices
CSI500;indices
CSI1000;indices

KOSPI;indices
KOSPI200;indices
KOR200;indices
KRX;indices

ASX200;indices
AUS200;indices
AUS200USD;indices
ASX;indices

AORD;indices
ALLORDS;indices

NZ50;indices
NZX50;indices
NZ50G;indices

SENSEX;indices
BSE30;indices
NIFTY;indices
NIFTY50;indices
INDIA50;indices

TAIEX;indices
TWII;indices
TSEC;indices

STI;indices
SGX;indices
SINGAPORE30;indices

SET;indices
SET50;indices
THAI50;indices

KLSE;indices
FBMKLCI;indices
MALAYSIA50;indices

JSE40;indices
SA40;indices
SOUTHAFRICA40;indices

TADAWUL;indices
TASI;indices
SAUDI;indices

DFM;indices
DUBAI;indices

ADX;indices
ABUDHABI;indices

QATAR;indices
QSI;indices

KUWAIT;indices
KWSE;indices

TA25;indices
TA35;indices
TELAVIV35;indices

EGX30;indices
EGX;indices

BOVESPA;indices
IBOV;indices
BRAZIL50;indices

MEXBOL;indices
MEXICO35;indices
MEX35;indices

IPSA;indices
CHILE;indices

MERVAL;indices
ARGENTINA;indices

COLCAP;indices
COLOMBIA;indices

PERUIGBVL;indices
PERU;indices

TSX;indices
TSX60;indices
CANADA60;indices
CAN60;indices

SPTSX;indices
SPTSX60;indices

RUSSELL1000;indices
RUSSELL3000;indices
RUSSELL2000;indices

NYSE;indices
NYSECOMPOSITE;indices
NASDAQCOMPOSITE;indices

DOWJONES;indices
DOWTRANSPORTATION;indices
DOWUTILITIES;indices

WILSHIRE5000;indices
WILSHIRE;indices

MSCIWORLD;indices
MSCIWORLDUSD;indices
MSCIEM;indices
MSCIEMERGING;indices
MSCIAFE;indices

FTSE100;indices
FTSE250;indices
FTSE350;indices
FTSEALLSHARE;indices

DAX;indices
MDAX;indices
SDAX;indices
TECDAX;indices

CAC40;indices
CACMID60;indices
SBF120;indices

EUROSTOXX50;indices
STOXX600;indices
STOXX50;indices

OMX30;indices
OMXS30;indices
OMXSTOCKHOLM30;indices

OBX;indices
OSEBX;indices

OMXC25;indices
OMXC20;indices

WIG20;indices
WIG;indices

PX;indices
PX50;indices

BUX;indices

BET;indices
BET20;indices

ATX;indices
ATX20;indices

ISEQ;indices

PSI20;indices
PSI;indices

AEX;indices
AMX;indices

BEL20;indices

ISE100;indices
ISE30;indices

RTS;indices
MOEX;indices
MOEXRUSSIA;indices

KASE;indices
KASE20;indices

TURKEY30;indices
BIST30;indices
BIST100;indices
XU030;indices
XU100;indices

WIG20;indices

S&P500;indices
NASDAQ100;indices
DOWJONES30;indices





BTC;crypto
BTCUSD;crypto
BTCUSDT;crypto
BTCEUR;crypto
BTCGBP;crypto
XBT;crypto
XBTUSD;crypto
XBTUSDT;crypto

ETH;crypto
ETHUSD;crypto
ETHUSDT;crypto
ETHEUR;crypto
ETHGBP;crypto

BNB;crypto
BNBUSD;crypto
BNBUSDT;crypto
BNBEUR;crypto

XRP;crypto
XRPUSD;crypto
XRPUSDT;crypto
XRPEUR;crypto
XRPGBP;crypto

SOL;crypto
SOLUSD;crypto
SOLUSDT;crypto
SOLEUR;crypto

ADA;crypto
ADAUSD;crypto
ADAUSDT;crypto
ADAEUR;crypto

DOGE;crypto
DOGEUSD;crypto
DOGEUSDT;crypto
DOGEEUR;crypto

AVAX;crypto
AVAXUSD;crypto
AVAXUSDT;crypto
AVAXEUR;crypto

DOT;crypto
DOTUSD;crypto
DOTUSDT;crypto
DOTEUR;crypto

LINK;crypto
LINKUSD;crypto
LINKUSDT;crypto
LINKEUR;crypto

LTC;crypto
LTCUSD;crypto
LTCUSDT;crypto
LTCEUR;crypto

BCH;crypto
BCHUSD;crypto
BCHUSDT;crypto
BCHEUR;crypto

UNI;crypto
UNIUSD;crypto
UNIUSDT;crypto
UNIEUR;crypto

ATOM;crypto
ATOMUSD;crypto
ATOMUSDT;crypto

NEAR;crypto
NEARUSD;crypto
NEARUSDT;crypto

APT;crypto
APTUSD;crypto
APTUSDT;crypto

ARB;crypto
ARBUSD;crypto
ARBUSDT;crypto

OP;crypto
OPUSD;crypto
OPUSDT;crypto

SUI;crypto
SUIUSD;crypto
SUIUSDT;crypto

INJ;crypto
INJUSD;crypto
INJUSDT;crypto

FIL;crypto
FILUSD;crypto
FILUSDT;crypto

ICP;crypto
ICPUSD;crypto
ICPUSDT;crypto

ALGO;crypto
ALGOUSD;crypto
ALGOUSDT;crypto

HBAR;crypto
HBARUSD;crypto
HBARUSDT;crypto

XLM;crypto
XLMUSD;crypto
XLMUSDT;crypto
XLMEUR;crypto

TRX;crypto
TRXUSD;crypto
TRXUSDT;crypto

TON;crypto
TONUSD;crypto
TONUSDT;crypto

ETC;crypto
ETCUSD;crypto
ETCUSDT;crypto

AAVE;crypto
AAVEUSD;crypto
AAVEUSDT;crypto

MKR;crypto
MKRUSD;crypto
MKRUSDT;crypto

CRV;crypto
CRVUSD;crypto
CRVUSDT;crypto

LDO;crypto
LDOUSD;crypto
LDOUSDT;crypto

RUNE;crypto
RUNEUSD;crypto
RUNEUSDT;crypto

STX;crypto
STXUSD;crypto
STXUSDT;crypto

MATIC;crypto
MATICUSD;crypto
MATICUSDT;crypto

POL;crypto
POLUSD;crypto
POLUSDT;crypto

VET;crypto
VETUSD;crypto
VETUSDT;crypto

THETA;crypto
THETAUSD;crypto
THETAUSDT;crypto

EOS;crypto
EOSUSD;crypto
EOSUSDT;crypto

EGLD;crypto
EGLDUSD;crypto
EGLDUSDT;crypto

FLOW;crypto
FLOWUSD;crypto
FLOWUSDT;crypto

SAND;crypto
SANDUSD;crypto
SANDUSDT;crypto

MANA;crypto
MANAUSD;crypto
MANAUSDT;crypto

AXS;crypto
AXSUSD;crypto
AXSUSDT;crypto

GALA;crypto
GALAUSD;crypto
GALAUSDT;crypto

ENJ;crypto
ENJUSD;crypto
ENJUSDT;crypto

APE;crypto
APEUSD;crypto
APEUSDT;crypto

CHZ;crypto
CHZUSD;crypto
CHZUSDT;crypto

PEPE;crypto
PEPEUSD;crypto
PEPEUSDT;crypto

SHIB;crypto
SHIBUSD;crypto
SHIBUSDT;crypto

FLOKI;crypto
FLOKIUSD;crypto
FLOKIUSDT;crypto

BONK;crypto
BONKUSD;crypto
BONKUSDT;crypto

WIF;crypto
WIFUSD;crypto
WIFUSDT;crypto

MEME;crypto
MEMEUSD;crypto
MEMEUSDT;crypto

SEI;crypto
SEIUSD;crypto
SEIUSDT;crypto

TIA;crypto
TIAUSD;crypto
TIAUSDT;crypto

JUP;crypto
JUPUSD;crypto
JUPUSDT;crypto

PYTH;crypto
PYTHUSD;crypto
PYTHUSDT;crypto

ONDO;crypto
ONDOUSD;crypto
ONDOUSDT;crypto

RENDER;crypto
RENDERUSD;crypto
RENDERUSDT;crypto

FET;crypto
FETUSD;crypto
FETUSDT;crypto

TAO;crypto
TAOUSD;crypto
TAOUSDT;crypto

RAY;crypto
RAYUSD;crypto
RAYUSDT;crypto

JTO;crypto
JTOUSD;crypto
JTOUSDT;crypto

WLD;crypto
WLDUSD;crypto
WLDUSDT;crypto

STRK;crypto
STRKUSD;crypto
STRKUSDT;crypto

IMX;crypto
IMXUSD;crypto
IMXUSDT;crypto

GRT;crypto
GRTUSD;crypto
GRTUSDT;crypto

SNX;crypto
SNXUSD;crypto
SNXUSDT;crypto

COMP;crypto
COMPUSD;crypto
COMPUSDT;crypto

SUSHI;crypto
SUSHIUSD;crypto
SUSHIUSDT;crypto

1INCH;crypto
1INCHUSD;crypto
1INCHUSDT;crypto

DYDX;crypto
DYDXUSD;crypto
DYDXUSDT;crypto

ZEC;crypto
ZECUSD;crypto
ZECUSDT;crypto

DASH;crypto
DASHUSD;crypto
DASHUSDT;crypto

XMR;crypto
XMRUSD;crypto
XMRUSDT;crypto

BATUSD;crypto
BAT;crypto
BATUSD;crypto
BATUSDT;crypto

ZRX;crypto
ZRXUSD;crypto
ZRXUSDT;crypto

KSM;crypto
KSMUSD;crypto
KSMUSDT;crypto

YFI;crypto
YFIUSD;crypto
YFIUSDT;crypto

SUSHI;crypto
SUSHIUSD;crypto
SUSHIUSDT;crypto

USDT;crypto
USDTUSD;crypto
USDTUSDT;crypto
USDC;crypto
USDCUSD;crypto
USDCUSDT;crypto
USDE;crypto
DAI;crypto
DAIUSD;crypto
DAIUSDT;crypto

HYPE;crypto
HYPEUSD;crypto
HYPEUSDT;crypto

STETH;crypto
STETHUSD;crypto
STETHUSDT;crypto

WSTETH;crypto
WSTETHUSD;crypto
WSTETHUSDT;crypto

WBTC;crypto
WBTCUSD;crypto
WBTCUSDT;crypto

FDUSD;crypto
FDUSDUSD;crypto
FDUSDUSDT;crypto

TUSD;crypto
TUSDUSD;crypto
TUSDUSDT;crypto

PYUSD;crypto
PYUSDUSD;crypto
PYUSDUSDT;crypto




AAPL;stocks
MSFT;stocks
NVDA;stocks
AMZN;stocks
GOOGL;stocks
GOOG;stocks
META;stocks
AVGO;stocks
TSLA;stocks
BRK.B;stocks
BRK.A;stocks
JPM;stocks
LLY;stocks
WMT;stocks
V;stocks
ORCL;stocks
MA;stocks
COST;stocks
NFLX;stocks
HD;stocks
PG;stocks
JNJ;stocks
ABBV;stocks
BAC;stocks
KO;stocks
CRM;stocks
CVX;stocks
XOM;stocks
CSCO;stocks
MRK;stocks
AMD;stocks
WFC;stocks
ACN;stocks
IBM;stocks
PM;stocks
MCD;stocks
GE;stocks
ABT;stocks
LIN;stocks
GS;stocks
CAT;stocks
AXP;stocks
NOW;stocks
TMO;stocks
ISRG;stocks
UBER;stocks
INTU;stocks
RTX;stocks
DIS;stocks
AMGN;stocks
QCOM;stocks
PFE;stocks
SPGI;stocks
BKNG;stocks
ADBE;stocks
TJX;stocks
SYK;stocks
BSX;stocks
PGR;stocks
BLK;stocks
VRTX;stocks
GILD;stocks
TXN;stocks
LOW;stocks
DE;stocks
LMT;stocks
ADP;stocks
SCHW;stocks
MMC;stocks
HON;stocks
CB;stocks
C;stocks
COP;stocks
MO;stocks
SO;stocks
DUK;stocks
CI;stocks
USB;stocks
MDT;stocks
PLD;stocks
BMY;stocks
ELV;stocks
AMAT;stocks
MU;stocks
LRCX;stocks
KLAC;stocks
ADI;stocks
PANW;stocks
CRWD;stocks
SNPS;stocks
CDNS;stocks
MSTR;stocks
PLTR;stocks
APP;stocks
ARM;stocks
ANET;stocks
DELL;stocks
SMCI;stocks
MRVL;stocks
INTC;stocks
TSM;stocks
ASML;stocks

ORCL;stocks
SAP;stocks
NOW;stocks
SHOP;stocks
SQ;stocks
PYPL;stocks
COIN;stocks
HOOD;stocks
SOFI;stocks
ROKU;stocks
SNOW;stocks
NET;stocks
DDOG;stocks
MDB;stocks
ZS;stocks
OKTA;stocks
TEAM;stocks
WDAY;stocks
PANW;stocks
FTNT;stocks
TTD;stocks
DASH;stocks
ABNB;stocks
BKNG;stocks
EXPE;stocks
ETSY;stocks
EBAY;stocks
CHWY;stocks
CVNA;stocks
GM;stocks
F;stocks
RIVN;stocks
LCID;stocks
NIO;stocks
LI;stocks
XPEV;stocks

SHEL;stocks
HSBA;stocks
AZN;stocks
UL;stocks
RIO;stocks
BP;stocks
GSK;stocks
BATS;stocks
REL;stocks
LSEG;stocks
BARC;stocks
LLOY;stocks
NWG;stocks
VOD;stocks
BT.A;stocks
BA;stocks
DGE;stocks
NG;stocks
AAL;stocks
IAG;stocks
RR;stocks
HLMA;stocks
CPG;stocks
SGE;stocks
FERG;stocks
CRH;stocks
EXPN;stocks
JD;stocks
III;stocks
AUTO;stocks

SAP;stocks
SIE;stocks
DTE;stocks
ALV;stocks
MUV2;stocks
BAS;stocks
BAYN;stocks
BMW;stocks
MBG;stocks
VOW3;stocks
ADS;stocks
AIR;stocks
RHM;stocks
HEN3;stocks
DBK;stocks
DB1;stocks
IFX;stocks
DHL;stocks
VNA;stocks
BEI;stocks
MTX;stocks
ENR;stocks
SHL;stocks
ZAL;stocks

ASML;stocks
ADYEN;stocks
INGA;stocks
PHIA;stocks
HEIA;stocks
UNA;stocks
DSM;stocks
ABN;stocks
NN;stocks
PRX;stocks
WKL;stocks

MC;stocks
OR;stocks
TTE;stocks
SAN;stocks
BNP;stocks
SU;stocks
AIR;stocks
AI;stocks
CS;stocks
DG;stocks
SAF;stocks
CAP;stocks
KER;stocks
RMS;stocks
ACA;stocks
ORA;stocks
VIV;stocks
STMPA;stocks
DSY;stocks
ENGI;stocks
EN;stocks
RI;stocks

NESN;stocks
NOVN;stocks
ROG;stocks
UBSG;stocks
ZURN;stocks
ABBN;stocks
CFR;stocks
LONN;stocks
SIKA;stocks
GEBN;stocks
HOLN;stocks
SCMN;stocks
GIVN;stocks
SGSN;stocks
CCH;stocks

SAN;stocks
BBVA;stocks
IBE;stocks
ITX;stocks
TEF;stocks
CABK;stocks
BNP;stocks
REP;stocks
AENA;stocks
FER;stocks
ACS;stocks
AMT;stocks
CLNX;stocks
GRF;stocks
ENG;stocks
SAB;stocks
MAP;stocks
MEL;stocks

ENI;stocks
ISP;stocks
UCG;stocks
RACE;stocks
STLA;stocks
LDO;stocks
ENEL;stocks
PRY;stocks
MONC;stocks
G;stocks
SRG;stocks
STM;stocks
BAMI;stocks
TIT;stocks
HER;stocks

AT;stocks
VOE;stocks
EBS;stocks
OMV;stocks
VER;stocks
ANDR;stocks
RBI;stocks
BAVA;stocks

NOVO-B;stocks
DSV;stocks
VWS;stocks
MAERSK-B;stocks
CARL-B;stocks
ORSTED;stocks
GEN;stocks
NZYM-B;stocks
COLO-B;stocks
DEMANT;stocks
PNDORA;stocks

ERIC-B;stocks
VOLV-B;stocks
SAND;stocks
ATCO-A;stocks
ATCO-B;stocks
SEB-A;stocks
SWED-A;stocks
SHB-A;stocks
HM-B;stocks
ESSITY-B;stocks
EQT;stocks
SKF-B;stocks
TEL2-B;stocks
TELIA;stocks
SINCH;stocks

EQNR;stocks
DNB;stocks
ORK;stocks
YAR;stocks
NOD;stocks
SALM;stocks
MOWI;stocks
AKRBP;stocks
SUBC;stocks
KOG;stocks
NHY;stocks
TOM;stocks

KNEBV;stocks
WRT1V;stocks
NOKIA;stocks
FORTUM;stocks
SAMPO;stocks
UPM;stocks
STORA;stocks
NESTE;stocks
KESKO;stocks
ELISA;stocks
METSO;stocks
WARTSILA;stocks

SHOP;stocks
RY;stocks
TD;stocks
BNS;stocks
BMO;stocks
CM;stocks
CNR;stocks
CP;stocks
ENB;stocks
SU;stocks
CNQ;stocks
CVE;stocks
BCE;stocks
TRP;stocks
ATD;stocks
CSU;stocks
ABX;stocks
NTR;stocks
FTS;stocks
IMO;stocks

7203;stocks
6758;stocks
9984;stocks
6861;stocks
8035;stocks
8306;stocks
8316;stocks
8411;stocks
9432;stocks
9433;stocks
9434;stocks
9983;stocks
7974;stocks
7267;stocks
6902;stocks
6501;stocks
6503;stocks
7751;stocks
8766;stocks
2914;stocks
4502;stocks
4519;stocks
4568;stocks
6098;stocks

0700;stocks
9988;stocks
3690;stocks
9618;stocks
1810;stocks
1211;stocks
0941;stocks
1398;stocks
0005;stocks
1299;stocks
0388;stocks
0939;stocks
0883;stocks
2318;stocks
0001;stocks
0016;stocks
0011;stocks
2388;stocks
2628;stocks
2269;stocks

BHP;stocks
CBA;stocks
CSL;stocks
NAB;stocks
WBC;stocks
ANZ;stocks
WES;stocks
WOW;stocks
MQG;stocks
FMG;stocks
RIO;stocks
TLS;stocks
GMG;stocks
TCL;stocks
ALL;stocks
REA;stocks
COL;stocks
WDS;stocks
STO;stocks
QBE;stocks
SUN;stocks
IAG;stocks
ORG;stocks
APA;stocks
CPU;stocks
XRO;stocks
CAR;stocks
MIN;stocks
AMC;stocks
ASX;stocks
